store;latitude;longitude
12;37,441565;-3,8955
13;37,35492;-5,286651
14;38,411953;-3,711638
15;37,588718;-1,594786
16;37,260362;-1,349004
31;37,124257;-3,249158
32;39,388903;-4,398468
38;37,348541;-1,951421
40;37,466706;-2,16279
41;38,285265;-3,391351
42;37,292493;-1,772324
43;37,207313;-5,077215
44;36,793899;-3,623569
45;36,60137;-5,623568
47;37,010332;-5,165511
48;41,584855;-6,247599
49;39,060421;-4,646785
50;38,201002;-2,820623
52;37,221883;-1,361584
53;40,356279;-3,442914
54;39,516344;-3,669608
56;37,603358;-2,112546
58;37,122506;-3,248371
59;37,304041;-1,872841
60;37,353195;-4,653416
61;37,565729;-2,417235
62;37,523693;-2,130987
63;37,393851;-2,47738
64;39,596562;-3,362399
65;38,348957;-3,857117
66;39,284884;-4,83011
67;41,499359;-6,37333
68;38,308949;-2,822803
69;37,338923;-2,095994
70;38,401744;-3,683283
72;37,3963;-4,826536
73;40,367405;-8,198778
74;37,369742;-1,952719
75;37,46703;-3,398308
76;39,319073;-3,270021
77;38,36444;-3,561767
78;41,661566;-5,774481
79;38,418689;-2,328002
80;37,174506;-1,679677
81;36,797419;-3,630539
82;39,163375;-4,923682
83;38,36444;-3,561767
91;38,230328;-3,701263
